id,province_id,district_id,sub_district_id,INQUIRE_NO,INQUIRE_ID,HH_CATS,latitude,longitude,FCS,CSI,HFIAS,HH_SIZE,HOH_EDU,HOH_AGE,HOH_GENDER,DEPEND_RATIO,GROUPS_MEMBER,WELFARE_TOTAL,WORKFORCE_TOTAL,EXPENSE_MONTHLY,DEBT_TOTAL,INCOME_MONTHLY,ASSETS_LAND,ASSETS_TOTAL,WATER_CROP,CHEM_TOTAL,DISASTER_OCC,FOODSRC_NATURAL,WATER_CONSUME,SANITATION_TYPE,COVID_AFFECTS,FOODSRC_BUY,FOODSAF_RATIO,SELF_COOK_DAYS,COOK_DONE_DAY,FOOD_STOCKS,FOODSRC_DIST,fcs_score,hfias_score,hfias_d1,hfias_d2,hfias_d3
62,62,6201,620106,62-016,16,0,16.543746,099.429416,2,11,1,2,1,28,2,0,1,1,2,10600,20000,10000,1,6,1,3,1,0,1,4,1,1,0.7917,0,7,2,4.00,88,0,0,0,0
63,62,6201,620106,62-017,17,0,16.518738,099.407524,2,66,2,2,3,48,2,0,0,2,2,6200,0,4167,1,0,1,1,1,2,0,2,1,1,0.2083,5,7,1,1.00,68,2,1,0,0
64,62,6201,620106,62-018,18,0,16.518556,099.407566,2,7,4,3,3,58,2,0,0,2,3,14800,60000,7500,1,0,1,0,3,2,1,4,0,1,0.4167,4,6,1,1.00,82,21,1,1,1
65,62,6201,620106,62-019,19,0,16.512361,099.414815,2,4,1,2,1,60,1,1,1,0,0,4500,100000,22500,1,0,0,0,1,0,1,3,0,1,0.9167,1,7,1,4.00,109,1,1,0,0
66,62,6201,620106,62-020,20,0,16.518598,099.407088,2,10,4,8,3,58,1,0,1,3,8,12000,450000,24583,1,7,1,2,1,2,0,2,2,1,0.5000,4,7,1,1.00,81,14,1,1,1
67,52,5202,520204,52-144,144,0,18.274293,099.659722,2,0,1,4,7,40,1,0,1,3,4,22000,0,70000,1,5,0,0,1,0,1,2,2,5,0.7917,1,7,1,1.00,86,0,0,0,0
68,62,6201,620106,62-031,31,0,16.521161,099.473350,2,21,3,4,1,57,1,0,0,1,4,10200,200000,8333,1,0,0,0,1,0,1,6,4,2,0.7083,0,7,1,1.00,74,8,1,1,1
69,62,6201,620106,62-032,32,0,16.519159,099.402866,2,2,2,2,1,63,2,1,1,2,0,5500,0,20000,1,0,0,0,1,0,1,3,3,1,0.8750,4,7,1,1.00,96,2,1,1,0
71,52,5202,520204,52-145,145,0,18.274345,099.665970,2,3,1,3,7,28,1,0,0,1,3,30500,100000,21600,1,5,0,0,1,0,1,3,0,1,0.7917,5,7,2,1.00,97,0,0,0,0
72,62,6201,620106,62-033,33,0,16.512433,099.420266,2,4,1,2,1,45,2,0,1,0,2,12900,220000,13333,1,0,1,3,1,0,1,3,1,1,0.8750,4,7,3,5.00,102,1,1,0,0
73,52,5202,520204,52-146,146,0,18.276377,099.659454,2,7,1,3,7,37,1,0,1,1,3,29000,2000000,60000,1,5,0,0,1,0,2,3,0,1,0.8750,0,7,1,1.00,81,0,0,0,0
74,62,6201,620106,62-021,21,0,16.518963,099.402486,2,4,1,1,1,66,2,1,1,1,0,3000,0,8333,1,4,0,0,1,0,1,3,2,1,0.8750,3,7,3,1.00,105,0,0,0,0
75,52,5202,520204,52-147,147,0,18.268920,099.689230,2,3,2,4,5,37,1,0,0,2,4,22000,500000,12500,1,0,0,0,3,2,1,2,4,1,0.7083,0,7,1,3.00,93,2,1,1,0
76,52,5212,521207,52-365,365,0,18.387867,099.348695,2,9,3,3,3,76,1,1,3,4,0,9000,0,9033,1,6,0,1,3,1,0,5,4,1,0.4583,2,6,1,0.50,110,11,1,1,1
77,52,5211,521104,52-348,348,0,17.884301,099.311282,2,2,3,5,3,66,1,1,1,3,0,10500,150000,9750,1,0,1,1,1,2,0,2,2,2,0.6250,2,7,1,0.50,88,4,1,1,1
78,52,5212,521207,52-366,366,0,18.388214,993.496916,2,22,2,2,4,51,2,0,2,2,2,8700,50000,6667,1,5,0,2,2,2,0,2,2,1,0.1250,0,7,1,0.50,95,4,1,1,0
79,52,5211,521104,52-349,349,0,17.905442,099.329751,2,0,1,5,5,50,2,0,2,2,5,8000,0,6667,1,5,1,1,1,2,1,2,1,2,0.5833,3,7,1,0.20,94,0,0,0,0
80,52,5202,520204,52-148,148,0,18.276690,099.680770,2,0,1,3,6,31,1,0,0,1,3,13000,200000,31000,1,5,0,0,4,3,2,2,2,1,0.4167,2,7,1,3.00,89,0,0,0,0
81,52,5211,521104,52-350,350,0,17.901786,099.328108,2,0,1,5,3,72,1,1,1,2,0,17000,100000,17300,0,0,1,1,1,2,1,2,2,2,0.5417,3,7,1,0.10,84,0,0,0,0
82,52,5212,521206,52-372,372,0,18.263916,099.264666,2,7,3,3,5,54,2,0,3,2,3,39100,500000,26667,1,4,0,0,1,0,1,2,4,1,0.0417,0,7,1,3.00,91,10,1,1,1
83,52,5212,521206,52-373,373,0,18.263945,099.263816,2,3,1,3,3,58,1,0,7,2,3,12500,150000,36000,1,4,0,0,1,2,1,2,2,1,0.6667,0,7,1,1.50,87,0,0,0,0
85,52,5212,521207,52-367,367,0,18.338706,099.345981,2,16,2,4,3,78,1,1,0,5,0,13600,5000,18700,1,4,1,2,3,0,1,3,0,1,0.2083,3,7,1,2.00,86,4,1,1,0
92,52,5212,521206,52-374,374,0,18.295486,099.279911,2,2,1,3,3,46,2,0,5,6,3,23000,60000,10600,1,5,1,2,2,3,1,3,2,1,0.2083,5,7,1,0.50,106,0,0,0,0
101,52,5211,521104,52-351,351,0,17.910077,099.302526,2,2,2,5,3,69,1,1,0,4,0,13100,400000,7600,1,4,1,1,1,2,0,2,2,2,0.4167,5,7,1,1.00,84,5,1,1,0
102,52,5211,521104,52-352,352,0,17.914049,099.294172,2,1,1,4,5,34,1,0,0,2,4,13700,200000,17400,1,0,1,1,1,0,1,2,0,2,0.3750,2,7,1,1.50,82,0,0,0,0
103,62,6201,620106,62-022,22,0,16.520049,099.402283,2,1,2,1,1,66,1,1,2,1,0,3500,50000,8333,1,3,1,3,1,0,1,3,2,1,0.9167,4,7,1,1.00,100,3,1,1,0
105,62,6201,620106,62-023,23,0,16.518950,099.402287,2,7,3,4,3,58,1,0,0,0,4,28900,200000,10000,1,3,1,0,1,2,0,2,0,2,0.7083,0,7,1,1.00,102,2,0,1,1
107,36,3612,361209,36-325,325,1,16.124125,102.091554,2,15,2,3,1,45,2,0,1,3,3,17900,2000,5000,1,5,1,2,1,2,1,2,1,1,0.5417,0,7,1,1.00,80,5,1,1,0
108,62,6201,620106,62-024,24,0,16.519201,099.401978,2,4,2,5,1,90,2,1,1,3,0,6000,0,26000,1,0,0,0,1,0,1,3,5,1,0.8750,2,7,1,1.00,112,3,1,1,0
109,62,6201,620106,62-025,25,0,16.519341,099.407983,2,10,1,1,1,66,2,1,1,1,0,3200,500000,8333,1,4,1,3,1,0,1,3,1,1,0.8750,3,7,3,1.00,108,1,1,0,0
110,36,3612,361209,36-326,326,1,16.124688,102.090758,2,2,2,3,1,43,2,0,0,3,3,38932,0,2500,1,4,0,0,1,1,1,4,0,1,0.6250,0,7,1,1.00,86,6,1,1,0
111,62,6201,620106,62-026,26,0,16.521222,099.408126,2,8,1,8,3,60,1,1,2,4,0,16600,200000,20833,1,7,1,3,1,3,1,4,3,1,0.7917,2,7,1,2.00,98,1,1,0,0
112,62,6201,620106,62-027,27,0,16.519540,099.407823,2,9,2,5,1,35,1,0,2,2,5,28100,40000,10000,2,6,1,3,1,0,1,3,1,1,0.8333,3,7,1,1.00,101,5,1,1,0
113,52,5202,520204,52-149,149,0,18.279490,099.677910,2,28,3,2,5,33,2,0,1,2,2,11300,20000,11000,0,0,1,0,1,3,2,3,7,1,0.3750,5,7,1,3.00,75,5,1,1,1
114,52,5202,520204,52-150,150,0,18.276720,099.681960,2,7,3,5,4,39,1,0,0,2,5,9500,0,6667,1,7,1,0,1,2,0,6,1,1,0.2917,0,7,1,3.00,60,2,0,1,0
115,52,5202,520204,52-151,151,0,18.259520,099.703230,2,0,1,5,5,62,1,1,5,2,0,38500,1000000,27000,1,4,0,0,1,0,1,2,0,1,0.4167,0,7,1,8.00,96,0,0,0,0
118,62,6201,620106,62-030,30,0,16.520874,099.408318,2,7,2,4,1,59,2,0,1,2,4,3500,400000,33333,2,0,1,3,1,0,1,3,0,1,0.7917,3,7,1,1.00,98,5,1,1,0
119,62,6201,620106,62-029,29,0,16.519044,099.430455,2,7,1,4,1,58,1,0,0,1,4,4500,0,33333,1,4,1,3,1,0,1,3,2,1,0.7917,3,7,1,2.00,93,0,0,0,0
120,62,6201,620106,62-028,28,0,16.520706,099.473173,2,7,3,2,1,57,1,0,1,2,2,20500,50000,16667,1,4,0,0,1,0,0,3,1,1,0.6250,0,7,1,0.50,109,8,1,1,1
121,62,6201,620106,62-034,34,0,16.512518,099.417704,2,6,2,3,1,66,1,1,2,3,0,8000,50000,28333,1,8,1,3,1,0,0,3,4,1,0.7500,3,7,1,5.00,109,3,1,1,0
122,36,3612,361209,36-327,327,0,16.126271,102.091217,2,11,2,3,1,61,2,1,4,2,0,25150,50000,5833,1,4,1,2,1,2,1,2,2,1,0.7500,0,7,1,1.00,85,4,1,1,0
123,83,8303,830302,83-002,2,1,08.018133,098.365330,2,0,2,3,5,57,1,0,1,3,3,11000,0,26250,2,4,1,3,1,0,0,2,3,1,0.5000,5,7,1,4.00,84,1,0,1,0
142,36,3612,361209,36-328,328,1,16.126098,102.091407,2,50,2,3,1,57,2,0,2,3,3,20000,250000,2500,1,7,1,0,1,2,1,2,1,1,0.7500,0,7,1,1.00,80,4,1,1,0
143,36,3612,361209,36-329,329,1,16.124213,102.091307,2,11,2,3,1,92,2,1,2,3,0,15850,0,6000,1,4,1,2,1,2,1,3,0,1,0.8750,0,7,1,1.00,89,4,1,1,0
144,52,5211,521104,52-353,353,0,17.923217,099.288186,2,0,1,4,3,65,1,1,1,3,0,15500,100000,12100,1,7,1,1,1,2,1,2,0,1,0.5000,4,7,1,1.00,82,0,0,0,0
145,36,3612,361209,36-330,330,1,16.124460,102.088477,2,44,2,3,1,50,1,0,6,3,3,17200,250000,7500,1,0,1,2,1,3,1,6,1,1,0.7500,7,7,1,1.00,89,6,1,1,0
146,36,3612,361209,36-331,331,1,16.124313,102.088322,2,41,2,3,1,52,1,0,4,3,3,15500,27000,18333,1,4,1,2,1,3,1,3,1,1,0.7083,5,7,1,1.00,83,3,1,1,0
147,36,3612,361209,36-332,332,1,16.124307,102.088523,2,55,2,4,1,62,1,1,5,3,0,12250,100000,2500,1,2,1,2,1,3,1,5,2,1,0.6667,7,7,1,1.00,89,7,1,1,0
148,52,5211,521104,52-354,354,0,17.935983,099.272072,2,0,2,4,3,67,2,1,1,2,0,39900,70000,14600,1,5,1,1,1,2,1,2,0,2,0.5417,4,7,1,0.30,97,2,1,0,0
149,36,3612,361209,36-333,333,1,16.125953,102.091475,2,48,2,5,1,85,2,1,4,3,0,6800,200000,2817,1,6,1,2,1,2,1,5,3,1,0.6667,7,7,1,1.00,82,7,1,1,0
150,36,3612,361209,36-334,334,1,16.126608,102.090808,2,31,4,4,1,85,1,1,3,3,0,26300,100000,5767,1,3,1,2,1,1,1,4,2,1,0.7500,0,7,1,1.00,82,9,1,1,1
152,52,5211,521104,52-355,355,0,17.933554,099.272237,2,0,1,4,1,62,2,1,0,2,0,30700,90000,14017,1,6,1,1,1,1,1,2,1,2,0.4583,4,7,1,0.60,84,0,0,0,0
153,52,5213,521301,52-396,396,0,18.756312,099.497749,2,1,1,3,3,48,2,0,3,3,3,5800,0,10833,1,3,0,0,1,0,0,2,2,1,0.5833,0,7,1,0.50,72,0,0,0,0
154,52,5213,521301,52-397,397,0,18.763783,099.510631,2,0,1,3,5,54,2,0,2,2,3,6800,0,8333,1,6,1,0,1,0,0,2,0,1,0.5000,0,7,1,0.50,63,0,0,0,0
155,52,5213,521301,52-398,398,0,18.769644,099.489591,2,14,1,2,3,72,2,1,4,5,0,3800,250000,4500,1,3,1,0,1,2,0,2,1,2,0.6250,7,7,1,1.00,62,1,1,0,0
156,52,5211,521104,52-356,356,0,17.934573,099.262699,2,0,1,4,3,74,2,1,0,3,0,9900,0,3117,2,4,1,1,1,1,1,2,2,2,0.5000,2,7,1,1.00,88,0,0,0,0
157,62,6201,620106,62-035,35,0,16.548877,099.437095,2,7,2,3,1,51,2,0,0,1,3,8350,100000,26667,1,5,0,0,1,0,1,3,2,1,0.8333,4,7,1,3.00,91,5,1,1,0
158,52,5211,521104,52-357,357,0,17.919312,099.301301,2,0,1,6,3,70,1,1,4,1,0,7300,0,8800,1,6,1,1,1,0,1,2,0,2,0.6250,0,7,1,0.50,68,0,0,0,0
159,52,5213,521301,52-399,399,0,18.756178,099.507831,2,0,1,5,5,53,1,0,2,1,5,19200,200000,258333,1,4,1,0,3,2,0,2,0,1,0.6667,3,7,1,1.50,95,1,1,0,0
160,52,5213,521301,52-400,400,0,18.762069,099.502763,2,0,1,3,3,62,1,1,0,0,0,6700,0,12500,1,6,1,0,1,0,0,2,0,1,0.6667,0,7,1,2.00,72,0,0,0,0
161,62,6201,620106,62-036,36,0,16.518832,099.436971,2,0,1,2,1,46,2,0,0,0,2,4350,0,20833,1,5,0,0,1,2,0,3,0,1,0.8750,2,7,1,4.00,97,0,0,0,0
162,62,6201,620106,62-037,37,0,16.544143,099.429091,2,8,2,3,4,62,1,1,1,2,0,8100,15000,13333,1,5,1,3,1,3,0,3,1,1,0.5417,1,7,1,2.00,86,3,1,1,0
163,52,5202,520204,52-152,152,0,18.262609,099.638128,2,2,1,3,7,38,1,0,1,1,3,28400,300000,34000,0,0,0,0,1,0,1,2,2,1,0.7083,0,7,1,3.00,98,0,0,0,0
164,62,6201,620106,62-038,38,0,16.542096,099.429935,2,25,1,2,3,57,1,0,2,1,2,72900,100000,17333,1,6,1,3,1,3,1,3,2,1,0.7083,1,7,1,3.00,66,0,0,0,0
165,62,6201,620106,62-039,39,0,16.542581,099.429894,2,16,1,3,5,44,2,0,4,2,3,16350,0,21533,1,0,0,0,1,0,0,3,0,1,0.9583,0,7,1,3.00,83,0,0,0,0
166,52,5202,520204,52-153,153,0,18.275175,099.640074,2,0,1,3,6,33,1,0,0,0,3,28000,0,18333,1,5,0,0,1,0,1,2,0,1,0.3333,0,7,1,5.00,70,0,0,0,0
167,62,6201,620106,62-040,40,0,16.542616,099.429651,2,31,2,3,1,54,2,0,0,2,3,15200,50000,6250,1,5,0,0,1,0,0,3,0,1,0.4167,0,7,1,3.00,102,2,1,1,0
168,52,5202,520204,52-154,154,0,18.273240,099.664920,2,0,1,5,4,67,1,1,1,2,0,33000,0,100000,1,5,0,0,1,0,2,3,0,1,0.7083,0,7,1,1.00,103,0,0,0,0
169,52,5202,520204,52-155,155,0,18.268420,099.689770,2,10,2,5,6,28,1,0,1,4,5,26000,90000,15000,1,0,1,2,4,2,1,5,3,1,0.2917,2,4,1,5.00,82,4,1,1,0
170,62,6201,620106,62-041,41,0,16.543188,099.429553,2,31,1,2,1,82,1,1,1,1,0,22250,90000,4967,1,0,1,3,1,0,1,3,0,1,0.4167,3,7,1,2.00,69,0,0,0,0
171,62,6201,620106,62-042,42,0,16.542898,099.429533,2,37,2,5,3,57,1,0,0,2,5,10890,0,19000,1,4,1,2,1,0,1,4,1,1,0.3333,2,7,1,3.00,58,8,1,1,0
172,62,6201,620106,62-043,43,0,16.542981,099.429512,2,61,1,4,5,35,2,0,2,2,4,19900,50000,15000,1,5,0,0,3,2,0,4,2,1,0.2500,4,7,1,4.00,79,0,0,0,0
